🇨🇳重庆频道,#genre#


璧山综合频道,http://222.179.42.129:8181/hls1.m3u8
大足综合频道,http://218.201.85.71:3170/m3u8
荣昌综合频道,http://183.64.181.25:40023/rongchang01.m3u8

荣昌综合频道,http://183.64.181.25:40023/rongchang01.m3u8?zzhongqd
北碚综合频道,http://222.178.181.121:12034/beibei01.m3u8
潼南综合频道,http://183.230.184.51:65500/tntv1.m3u8
垫江综合频道,http://125.62.24.185:80/1.m3u8
万州科教频道,http://123.146.162.24:8017/Cz7WPb8/800/live.m3u8
万州科教频道,http://wanzhoulive.cbg.cn:8017/Cz7WPb8/800/live.m3u8
万州三峡移民频道,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州三峡移民频道,http://wanzhoulive.cbg.cn:8017/c2F0hmi/s1000/live.m3u8
万州影视频道,http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
万州影视频道,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
万州影视文艺频道,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
万州综合频道,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
万州综合频道,http://wanzhoulive.cbg.cn:8017/iTXwrGs/800/live.m3u8
开州综合频道,https://qxlmlive9.cbg.cn/applive/kzpd01/chunklist.m3u8
武隆综合频道,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8
万盛新闻综合,http://113.207.29.195:1935/app_2/ls_40.stream/playlsit.m3u8
万州综合频道,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
万州三峡移民频道,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
江津新闻综合频道,http://222.179.155.21:1935/ch1.m3u8
江津经济生活频道,http://222.179.155.21:1935/ch0.m3u8
江津文化旅游频道,http://222.179.155.21:1935/ch2.m3u8
北碚综合频道,http://222.178.181.121:12034/ts1
重庆移动频道,http://qxlmlive9.cbg.cn/app_2/ls_58.stream/chunklist.m3u8
垫江综合频道,http://125.62.24.185/1.m3u8
梁平综合频道,https://qxlmlive9.cbg.cn/applive/lplive01/chunklist.m3u8
巫山综合频道,https://qxlmlive9.cbg.cn/applive/wspd001/chunklist.m3u8
永川综合频道,https://qxlmlive9.cbg.cn/applive/yctv01/playlist.m3u8
酉阳综合频道,http://qxlmlive9.cbg.cn/applive/youytv01/playlist.m3u8
忠县综合频道,https://qxlmlive9.cbg.cn/applive/zxtv2/chunklist.m3u8


🇨🇳央视频道,#genre#
CCTV 4K超高清,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV1 综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1 综合,http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8
CCTV1 综合,http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8
CCTV1 综合,http://111.59.63.32:9901/tsfile/live/1008_1.m3u8
CCTV2 财经,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2 财经,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
